,sancion,causa,dependencia,genero,ingreso,puesto,c,value
56,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,4842180.0,Director,1,1
57,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,1633600.0,Director,2,1
58,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,6031200.0,Director,1,1
59,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,5039040.0,Director,1,1
60,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,6431556.0,Director,1,1
61,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,5561124.0,Director,1,1
62,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,5153904.0,Director,1,1
63,Sanción Económica,DESVÍO DE RECURSOS,Educación e Investigación,Mujer,5153904.0,Director,1,1
64,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,5153904.0,Administrador,1,1
65,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,1070508.0,Administrador,3,1
66,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,273910.0,Administrador,3,1
67,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,1123032.0,Administrador,3,1
68,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,1054140.0,Administrador,3,1
69,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,998172.0,Administrador,3,1
70,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,974508.0,Administrador,3,1
71,Destitución,CONFLICTO DE INTERÉS,Servicios,Hombre,974508.0,Administrador,3,1
72,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,974508.0,Administrador,3,1
73,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1076208.0,Administrador,3,1
74,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,247970.0,Administrador,3,1
75,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1134324.0,Administrador,3,1
76,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1175544.0,Administrador,3,1
77,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1148652.0,Administrador,3,1
78,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1161888.0,Administrador,3,1
79,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1161888.0,Administrador,3,1
80,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1161888.0,Director,0,1
81,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1206276.0,Director,0,1
82,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,244495.0,Director,0,1
83,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1219668.0,Director,0,1
84,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1169148.0,Director,0,1
85,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1171872.0,Director,0,1
86,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1091376.0,Director,0,1
87,Destitución,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,1091376.0,Director,0,1
88,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1091376.0,Director,2,1
89,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,317575.0,Director,2,1
90,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1520388.0,Director,2,1
91,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1587756.0,Director,2,1
92,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1506672.0,Director,2,1
93,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1540092.0,Director,2,1
94,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1535040.0,Director,2,1
95,Inhabilitación,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1535040.0,Director,2,1
96,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,1156205.0,Director,2,1
97,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,1156205.0,Director,2,1
98,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,4362936.0,Director,1,1
99,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,4153764.0,Director,1,1
100,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,3797928.0,Director,1,1
101,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,4907544.0,Director,1,1
102,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,4709088.0,Director,1,1
103,Acta Administrativa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,4709088.0,Director,1,1
104,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,105560.0,Director,2,1
105,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
106,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
107,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
108,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
109,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
110,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
111,Acta Administrativa,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,506688.0,Director,2,1
112,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,506688.0,Titular,0,1
113,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,5078448.0,Titular,1,1
114,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,1580630.0,Titular,0,1
115,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,4593768.0,Titular,1,1
116,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,4234416.0,Titular,1,1
117,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,4866060.0,Titular,1,1
118,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,4283496.0,Titular,1,1
119,Sanción Económica,COHECHO,Comunicación y Transporte,Hombre,4283496.0,Titular,1,1
120,Susupención,PECULADO,Salud,Hombre,4283496.0,Director,1,1
121,Susupención,PECULADO,Salud,Hombre,126855.0,Director,0,1
122,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
123,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
124,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
125,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
126,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
127,Susupención,PECULADO,Salud,Hombre,608904.0,Director,0,1
128,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,608904.0,Secretario de Estado,3,1
129,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,1247555.0,Secretario de Estado,3,1
130,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,4008564.0,Secretario de Estado,3,1
131,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,4294860.0,Secretario de Estado,3,1
132,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,4121496.0,Secretario de Estado,3,1
133,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,3793500.0,Secretario de Estado,3,1
134,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,4330500.0,Secretario de Estado,3,1
135,Inhabilitación,ABUSO DE FUNCIONES,Energía,Hombre,4330500.0,Secretario de Estado,3,1
136,Acta Administrativa,NEPOTISMO,Minería,Mujer,4330500.0,Director,1,1
137,Acta Administrativa,NEPOTISMO,Minería,Mujer,1467145.0,Director,2,1
138,Acta Administrativa,NEPOTISMO,Minería,Mujer,4090272.0,Director,1,1
139,Acta Administrativa,NEPOTISMO,Minería,Mujer,4550184.0,Director,1,1
140,Acta Administrativa,NEPOTISMO,Minería,Mujer,4103400.0,Director,1,1
141,Acta Administrativa,NEPOTISMO,Minería,Mujer,4502616.0,Director,1,1
142,Acta Administrativa,NEPOTISMO,Minería,Mujer,4092768.0,Director,1,1
143,Acta Administrativa,NEPOTISMO,Minería,Mujer,4092768.0,Director,1,1
144,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,4092768.0,Administrador,1,1
145,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,238220.0,Administrador,0,1
146,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1114752.0,Administrador,0,1
147,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1248912.0,Administrador,0,1
148,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1106448.0,Administrador,0,1
149,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1114248.0,Administrador,0,1
150,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1106040.0,Administrador,0,1
151,Multa,ENRIQUECIMIENTO OCULTO,Salud,Hombre,1106040.0,Administrador,0,1
152,Susupención,NEPOTISMO,Educación e Investigación,Hombre,1106040.0,Analista,0,1
153,Susupención,NEPOTISMO,Educación e Investigación,Hombre,126855.0,Analista,0,1
154,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
155,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
156,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
157,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
158,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
159,Susupención,NEPOTISMO,Educación e Investigación,Hombre,608904.0,Analista,0,1
160,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,608904.0,Director,2,1
161,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4399752.0,Director,1,1
162,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4572660.0,Director,1,1
163,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,1731590.0,Director,2,1
164,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4260828.0,Director,1,1
165,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4672284.0,Director,1,1
166,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4089360.0,Director,1,1
167,Destitución,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,4089360.0,Director,1,1
168,Susupención,NEPOTISMO,Salud,Hombre,4089360.0,Jefe Departamento,0,1
169,Susupención,NEPOTISMO,Salud,Hombre,160000.0,Jefe Departamento,0,1
170,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
171,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
172,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
173,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
174,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
175,Susupención,NEPOTISMO,Salud,Hombre,768000.0,Jefe Departamento,0,1
176,Destitución,COHECHO,Comunicación y Transporte,Mujer,768000.0,Director,2,1
177,Destitución,COHECHO,Comunicación y Transporte,Mujer,1273965.0,Director,2,1
178,Destitución,COHECHO,Comunicación y Transporte,Mujer,4200624.0,Director,1,1
179,Destitución,COHECHO,Comunicación y Transporte,Mujer,5194392.0,Director,1,1
180,Destitución,COHECHO,Comunicación y Transporte,Mujer,4362744.0,Director,1,1
181,Destitución,COHECHO,Comunicación y Transporte,Mujer,4668156.0,Director,1,1
182,Destitución,COHECHO,Comunicación y Transporte,Mujer,5180388.0,Director,1,1
183,Destitución,COHECHO,Comunicación y Transporte,Mujer,5180388.0,Director,1,1
184,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,5180388.0,Titular,1,1
185,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,3685176.0,Titular,1,1
186,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1349335.0,Titular,0,1
187,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,4170912.0,Titular,1,1
188,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,4092840.0,Titular,1,1
189,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,4862208.0,Titular,1,1
190,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,4168356.0,Titular,1,1
191,Sanción Económica,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,4168356.0,Titular,1,1
192,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,4168356.0,Director,3,1
193,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,126855.0,Director,3,1
194,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
195,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
196,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
197,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
198,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
199,Susupención,ABUSO DE FUNCIONES,Salud,Hombre,608904.0,Director,3,1
200,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,608904.0,Titular,0,1
201,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,5825364.0,Titular,1,1
202,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,4964592.0,Titular,1,1
203,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,1573480.0,Titular,0,1
204,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,4901388.0,Titular,1,1
205,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,5995848.0,Titular,1,1
206,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,5672748.0,Titular,1,1
207,Susupención,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,5672748.0,Titular,1,1
208,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,5672748.0,Director,1,1
209,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,5715528.0,Director,1,1
210,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,1750085.0,Director,2,1
211,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,5452788.0,Director,1,1
212,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,6246024.0,Director,1,1
213,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,6753768.0,Director,1,1
214,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,6376296.0,Director,1,1
215,Indemnización Resarcitoria,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,6376296.0,Director,1,1
216,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,125000.0,Analista,2,1
217,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,125000.0,Analista,2,1
218,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
219,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
220,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
221,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
222,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
223,Susupención,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,600000.0,Analista,2,1
224,Destitución,COHECHO,Agricultura,Mujer,600000.0,Gobernador,2,1
225,Destitución,COHECHO,Agricultura,Mujer,1512470.0,Gobernador,2,1
226,Destitución,COHECHO,Agricultura,Mujer,4677276.0,Gobernador,1,1
227,Destitución,COHECHO,Agricultura,Mujer,4423500.0,Gobernador,1,1
228,Destitución,COHECHO,Agricultura,Mujer,3820752.0,Gobernador,1,1
229,Destitución,COHECHO,Agricultura,Mujer,4111356.0,Gobernador,1,1
230,Destitución,COHECHO,Agricultura,Mujer,4391220.0,Gobernador,1,1
231,Destitución,COHECHO,Agricultura,Mujer,4391220.0,Gobernador,1,1
232,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,296405.0,Administrador,0,1
233,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1138212.0,Administrador,0,1
234,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1138212.0,Administrador,0,1
235,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1092324.0,Administrador,0,1
236,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1155876.0,Administrador,0,1
237,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1114128.0,Administrador,0,1
238,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1242576.0,Administrador,0,1
239,Susupención,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,1242576.0,Administrador,0,1
240,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1242576.0,Administrador,2,1
241,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,357915.0,Administrador,2,1
242,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1609704.0,Administrador,2,1
243,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1614552.0,Administrador,2,1
244,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1447848.0,Administrador,2,1
245,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1607364.0,Administrador,2,1
246,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1553916.0,Administrador,2,1
247,Multa,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Industria,Mujer,1553916.0,Administrador,2,1
248,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1553916.0,Director,0,1
249,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,323545.0,Director,0,1
250,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1532940.0,Director,0,1
251,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1504476.0,Director,0,1
252,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1471392.0,Director,0,1
253,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1608204.0,Director,0,1
254,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1556184.0,Director,0,1
255,Indemnización Resarcitoria,COHECHO,Economía y Desarrollo,Hombre,1556184.0,Director,0,1
256,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,1556184.0,Analista,2,1
257,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,105560.0,Analista,2,1
258,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
259,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
260,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
261,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
262,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
263,Sanción Económica,CONFLICTO DE INTERÉS,Seguridad Nacional,Mujer,506688.0,Analista,2,1
264,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,506688.0,Director,2,1
265,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,326590.0,Director,2,1
266,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,1541496.0,Director,2,1
267,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,1585476.0,Director,2,1
268,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,1599420.0,Director,2,1
269,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,1480776.0,Director,2,1
270,Multa,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,1515936.0,Director,2,1
