,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,inhabilitacion,value
35,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,5.0,1
36,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,7.0,1
37,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,7.0,1
38,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,4.0,1
39,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,3.0,1
40,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,6.0,1
41,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,1.0,1
42,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,9.0,1
43,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,1.0,1
44,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,6.0,1
45,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Comunicación y Transporte,Hombre,Titular de Unidad,5.0,1
46,OIC,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,Analista,3.0,1
47,Organo de Control Interno,DESTITUCION,COHECHO,Agricultura,Mujer,Gobernador/a del Estado,6.0,1
48,Organo de Control Interno,SUSPENSION,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Subadministrador,3.0,1
49,Organo de Control Interno,SUSPENSION,CONFLICTO DE INTERÉS,Educación e Investigación,Mujer,Director General Paraestatal B,4.0,1
50,Contraloría Interna,DESTITUCION,CONFLICTO DE INTERÉS,Medio Ambiente,Hombre,Director General Paraestatal B,7.0,1
51,OIC,SUSPENSION,NEPOTISMO,Agricultura,Mujer,Analista,7.0,1
52,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Comunicación y Transporte,Hombre,Titular de Unidad,2.0,1
53,Organo de Control Interno,INHABILITADO,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Subdirector de Area,1.0,1
54,Contraloría Interna,DESTITUCION,CONFLICTO DE INTERÉS,Agricultura,Mujer,Jefe de Departamento,2.0,1
55,Organo de Control Interno,DESTITUCION,COHECHO,Agricultura,Hombre,Director General Paraestatal B,8.0,1
56,Tribunal,DESTITUCION,CONTRATACIÓN INDEBIDA,Educación e Investigación,Mujer,Jefe de Departamento,2.0,1
57,OIC,DESTITUCION,ENRIQUECIMIENTO OCULTO,Energía,Mujer,Director General Adjunto,10.0,1
58,Contraloría Interna,SUSPENSION,CONTRATACIÓN INDEBIDA,Comunicación y Transporte,Mujer,Administrador,7.0,1
59,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Energía,Mujer,Director General Paraestatal A,3.0,1
60,Organo de Control Interno,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Gobernanza y Justicia,Hombre,Analista,5.0,1
61,Tribunal,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Banca y Finanzas,Hombre,Subdirector de Area,2.0,1
62,Organo de Control Interno,INHABILITADO,PECULADO,Economía y Desarrollo,Hombre,Administrador,5.0,1
63,Tribunal,DESTITUCION,PECULADO,Banca y Finanzas,Hombre,Director de Area,10.0,1
64,Organo de Control Interno,DESTITUCION,NEPOTISMO,Educación e Investigación,Mujer,Analista,1.0,1
65,OIC,INHABILITADO,PECULADO,Banca y Finanzas,Mujer,Subadministrador,6.0,1
66,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Administrador,9.0,1
67,Organo de Control Interno,DESTITUCION,NEPOTISMO,Arte y Cultura,Mujer,Administrador,5.0,1
68,OIC,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Medio Ambiente,Hombre,Jefe de Departamento,1.0,1
69,Organo de Control Interno,DESTITUCION,ENRIQUECIMIENTO OCULTO,Comunicación y Transporte,Hombre,Analista,10.0,1
70,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Gobernador/a del Estado,4.0,1
71,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Educación e Investigación,Hombre,Gobernador/a del Estado,5.0,1
72,OIC,SUSPENSION,PECULADO,Energía,Hombre,Jefe de Departamento,7.0,1
73,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Mujer,Director General Paraestatal A,4.0,1
74,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Comunicación y Transporte,Hombre,Jefe de Departamento,9.0,1
75,Contraloría Interna,DESTITUCION,ABUSO DE FUNCIONES,Agricultura,Hombre,Subdirector de Area,1.0,1
76,Tribunal,INHABILITADO,CONTRATACIÓN INDEBIDA,Energía,Hombre,Subdirector de Area,7.0,1
77,Tribunal,DESTITUCION,CONTRATACIÓN INDEBIDA,Banca y Finanzas,Mujer,Subdirector de Area,8.0,1
78,Organo de Control Interno,INHABILITADO,COHECHO,Educación e Investigación,Mujer,Titular de Unidad,2.0,1
79,Contraloría Interna,DESTITUCION,CONTRATACIÓN INDEBIDA,Educación e Investigación,Mujer,Subdirector de Area,2.0,1
80,Contraloría Interna,DESTITUCION,COHECHO,Educación e Investigación,Hombre,Secretario/a de Estado A,8.0,1
81,Tribunal,DESTITUCION,CONFLICTO DE INTERÉS,Educación e Investigación,Mujer,Jefe de Departamento,2.0,1
82,Organo de Control Interno,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Arte y Cultura,Mujer,Administrador,6.0,1
83,OIC,SUSPENSION,ABUSO DE FUNCIONES,Banca y Finanzas,Hombre,Gobernador/a del Estado,6.0,1
84,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Industria,Mujer,Subadministrador,2.0,1
85,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Educación e Investigación,Mujer,Subadministrador,4.0,1
86,Organo de Control Interno,SUSPENSION,PECULADO,Economía y Desarrollo,Mujer,Director de Area,9.0,1
87,Tribunal,SUSPENSION,CONTRATACIÓN INDEBIDA,Comunicación y Transporte,Hombre,Director General Paraestatal C,6.0,1
88,Organo de Control Interno,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Mujer,Jefe de Departamento,4.0,1
89,Organo de Control Interno,SUSPENSION,CONTRATACIÓN INDEBIDA,Salud,Hombre,Gobernador/a del Estado,4.0,1
90,Organo de Control Interno,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Hombre,Subdirector de Area,1.0,1
91,Tribunal,INHABILITADO,PECULADO,Banca y Finanzas,Hombre,Director General Paraestatal C,2.0,1
92,OIC,SUSPENSION,PECULADO,Comunicación y Transporte,Hombre,Subadministrador,9.0,1
93,Tribunal,DESTITUCION,NEPOTISMO,Educación e Investigación,Mujer,Subadministrador,4.0,1
94,Tribunal,SUSPENSION,PECULADO,Comunicación y Transporte,Hombre,Director de Area,5.0,1
95,Tribunal,DESTITUCION,TRÁFICO DE INFLUENCIAS,Agricultura,Mujer,Titular de Unidad,8.0,1
96,OIC,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Salud,Mujer,Analista,6.0,1
97,Organo de Control Interno,INHABILITADO,NEPOTISMO,Salud,Hombre,Subadministrador,7.0,1
98,Organo de Control Interno,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,Director General Paraestatal C,8.0,1
99,Contraloría Interna,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,Subdirector de Area,8.0,1
100,Organo de Control Interno,DESTITUCION,NEPOTISMO,Salud,Mujer,Jefe de Departamento,2.0,1
101,Organo de Control Interno,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,Director General Paraestatal B,10.0,1
102,Organo de Control Interno,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Subdirector de Area,5.0,1
103,Contraloría Interna,SUSPENSION,NEPOTISMO,Energía,Mujer,Jefe de Departamento,8.0,1
104,Contraloría Interna,SUSPENSION,CONFLICTO DE INTERÉS,Servicios,Mujer,Subdirector de Area,3.0,1
105,OIC,DESTITUCION,NEPOTISMO,Comunicación y Transporte,Hombre,Jefe de Departamento,9.0,1
106,Contraloría Interna,DESTITUCION,COHECHO,Educación e Investigación,Mujer,Subdirector de Area,3.0,1
107,Contraloría Interna,INHABILITADO,CONFLICTO DE INTERÉS,Salud,Mujer,Analista,3.0,1
108,Organo de Control Interno,INHABILITADO,ENRIQUECIMIENTO OCULTO,Comunicación y Transporte,Hombre,Jefe de Departamento,9.0,1
109,Contraloría Interna,DESTITUCION,CONTRATACIÓN INDEBIDA,Banca y Finanzas,Hombre,Jefe de Departamento,1.0,1
110,OIC,INHABILITADO,COHECHO,Servicios,Hombre,Subadministrador,5.0,1
111,Tribunal,DESTITUCION,CONFLICTO DE INTERÉS,Educación e Investigación,Mujer,Secretario/a de Estado A,8.0,1
112,Organo de Control Interno,SUSPENSION,COHECHO,Seguridad Nacional,Hombre,Administrador,10.0,1
113,Tribunal,INHABILITADO,CONTRATACIÓN INDEBIDA,Servicios,Mujer,Analista,6.0,1
114,Tribunal,SUSPENSION,TRÁFICO DE INFLUENCIAS,Industria,Hombre,Analista,3.0,1
115,Contraloría Interna,DESTITUCION,TRÁFICO DE INFLUENCIAS,Energía,Mujer,Administrador,9.0,1
116,Organo de Control Interno,INHABILITADO,TRÁFICO DE INFLUENCIAS,Banca y Finanzas,Hombre,Director General Paraestatal A,8.0,1
117,Tribunal,DESTITUCION,ABUSO DE FUNCIONES,Salud,Mujer,Gobernador/a del Estado,4.0,1
118,OIC,SUSPENSION,ABUSO DE FUNCIONES,Minería,Mujer,Subdirector de Area,4.0,1
119,Tribunal,INHABILITADO,NEPOTISMO,Servicios,Mujer,Jefe de Departamento,10.0,1
120,Organo de Control Interno,INHABILITADO,NEPOTISMO,Salud,Mujer,Subdirector de Area,1.0,1
121,OIC,SUSPENSION,COHECHO,Economía y Desarrollo,Hombre,Analista,8.0,1
122,Organo de Control Interno,DESTITUCION,ABUSO DE FUNCIONES,Comunicación y Transporte,Hombre,Subdirector de Area,5.0,1
123,OIC,INHABILITADO,NEPOTISMO,Educación e Investigación,Hombre,Administrador,8.0,1
124,OIC,SUSPENSION,TRÁFICO DE INFLUENCIAS,Gobernanza y Justicia,Hombre,Director de Area,4.0,1
125,Contraloría Interna,DESTITUCION,CONTRATACIÓN INDEBIDA,Gobernanza y Justicia,Mujer,Jefe de Departamento,7.0,1
126,Contraloría Interna,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Salud,Hombre,Director General Paraestatal A,10.0,1
127,Tribunal,INHABILITADO,ENRIQUECIMIENTO OCULTO,Agricultura,Hombre,Subdirector de Area,5.0,1
128,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Seguridad Nacional,Hombre,Secretario/a de Estado A,10.0,1
129,Tribunal,INHABILITADO,PECULADO,Educación e Investigación,Hombre,Subadministrador,5.0,1
130,OIC,SUSPENSION,CONFLICTO DE INTERÉS,Educación e Investigación,Hombre,Director General Paraestatal A,8.0,1
131,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Gobernador/a del Estado,3.0,1
132,OIC,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Gobernanza y Justicia,Mujer,Titular de Unidad,10.0,1
133,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Educación e Investigación,Hombre,Director General Paraestatal A,6.0,1
134,Tribunal,DESTITUCION,NEPOTISMO,Salud,Hombre,Director General Paraestatal C,2.0,1
135,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Hombre,Administrador,5.0,1
136,Organo de Control Interno,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Hombre,Analista,4.0,1
137,Contraloría Interna,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Energía,Hombre,Director de Area,10.0,1
138,Organo de Control Interno,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Seguridad Nacional,Hombre,Titular de Unidad,5.0,1
139,OIC,INHABILITADO,ABUSO DE FUNCIONES,Salud,Hombre,Jefe de Departamento,7.0,1
140,Tribunal,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Agricultura,Mujer,Analista,3.0,1
141,OIC,INHABILITADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subdirector de Area,4.0,1
142,Contraloría Interna,SUSPENSION,ENRIQUECIMIENTO OCULTO,Seguridad Nacional,Hombre,Titular de Unidad,2.0,1
143,Tribunal,SUSPENSION,ABUSO DE FUNCIONES,Agricultura,Mujer,Administrador,6.0,1
144,OIC,SUSPENSION,ABUSO DE FUNCIONES,Medio Ambiente,Mujer,Director General Adjunto,8.0,1
145,OIC,DESTITUCION,NEPOTISMO,Salud,Mujer,Subdirector de Area,1.0,1
146,Contraloría Interna,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Salud,Hombre,Administrador,2.0,1
147,Organo de Control Interno,SUSPENSION,ENRIQUECIMIENTO OCULTO,Educación e Investigación,Mujer,Director de Area,6.0,1
148,OIC,DESTITUCION,COHECHO,Salud,Mujer,Analista,1.0,1
149,OIC,SUSPENSION,NEPOTISMO,Comunicación y Transporte,Mujer,Analista,4.0,1
150,OIC,SUSPENSION,COHECHO,Banca y Finanzas,Mujer,Jefe de Departamento,7.0,1
151,Organo de Control Interno,SUSPENSION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Hombre,Administrador,5.0,1
152,Contraloría Interna,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Arte y Cultura,Mujer,Secretario/a de Estado A,7.0,1
153,OIC,INHABILITADO,NEPOTISMO,Arte y Cultura,Mujer,Subadministrador,3.0,1
154,OIC,DESTITUCION,PECULADO,Arte y Cultura,Mujer,Gobernador/a del Estado,1.0,1
155,Organo de Control Interno,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Director General Paraestatal C,10.0,1
156,OIC,DESTITUCION,TRÁFICO DE INFLUENCIAS,,Mujer,Analista,6.0,1
157,Tribunal,DESTITUCION,PECULADO,Economía y Desarrollo,Hombre,Subdirector de Area,4.0,1
158,OIC,DESTITUCION,ENRIQUECIMIENTO OCULTO,Educación e Investigación,Hombre,Analista,7.0,1
159,Contraloría Interna,SUSPENSION,CONTRATACIÓN INDEBIDA,Salud,Mujer,Subadministrador,7.0,1
160,OIC,INHABILITADO,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Director General Paraestatal A,8.0,1
161,OIC,INHABILITADO,ABUSO DE FUNCIONES,Agricultura,Mujer,Director de Area,5.0,1
162,Organo de Control Interno,SUSPENSION,ENRIQUECIMIENTO OCULTO,Banca y Finanzas,Mujer,Titular de Unidad,4.0,1
163,Contraloría Interna,INHABILITADO,ENRIQUECIMIENTO OCULTO,Energía,Mujer,Administrador,6.0,1
164,Tribunal,SUSPENSION,CONTRATACIÓN INDEBIDA,Salud,Mujer,Analista,10.0,1
165,Tribunal,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Mujer,Subdirector de Area,7.0,1
166,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Educación e Investigación,Hombre,Analista,1.0,1
167,Organo de Control Interno,INHABILITADO,COHECHO,Banca y Finanzas,Mujer,Administrador,4.0,1
168,Contraloría Interna,DESTITUCION,TRÁFICO DE INFLUENCIAS,Medio Ambiente,Mujer,Jefe de Departamento,8.0,1
169,OIC,SUSPENSION,COHECHO,Banca y Finanzas,Mujer,Analista,2.0,1
170,Organo de Control Interno,SUSPENSION,PECULADO,Banca y Finanzas,Hombre,Director General Paraestatal B,10.0,1
171,Organo de Control Interno,DESTITUCION,COHECHO,Educación e Investigación,Mujer,Director General Paraestatal B,2.0,1
172,Contraloría Interna,DESTITUCION,NEPOTISMO,Educación e Investigación,Hombre,Jefe de Departamento,1.0,1
173,OIC,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Hombre,Jefe de Departamento,1.0,1
174,Contraloría Interna,SUSPENSION,ENRIQUECIMIENTO OCULTO,Educación e Investigación,Hombre,Subdirector de Area,5.0,1
175,Contraloría Interna,INHABILITADO,COHECHO,Economía y Desarrollo,Mujer,Director General Paraestatal A,1.0,1
176,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Comunicación y Transporte,Mujer,Director General Adjunto,1.0,1
177,Contraloría Interna,DESTITUCION,ABUSO DE FUNCIONES,Educación e Investigación,Hombre,Analista,5.0,1
178,Organo de Control Interno,INHABILITADO,PECULADO,Seguridad Nacional,Hombre,Director General Paraestatal B,8.0,1
179,Tribunal,DESTITUCION,TRÁFICO DE INFLUENCIAS,Arte y Cultura,Hombre,Director de Area,8.0,1
180,Tribunal,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Gobernanza y Justicia,Mujer,Director General Paraestatal B,5.0,1
181,OIC,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,2.0,1
182,Organo de Control Interno,DESTITUCION,ABUSO DE FUNCIONES,Medio Ambiente,Mujer,Jefe de Departamento,6.0,1
183,Organo de Control Interno,DESTITUCION,TRÁFICO DE INFLUENCIAS,Energía,Hombre,Administrador,8.0,1
184,Tribunal,DESTITUCION,CONTRATACIÓN INDEBIDA,Energía,Mujer,Gobernador/a del Estado,5.0,1
185,OIC,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Educación e Investigación,Mujer,Jefe de Departamento,10.0,1
186,Organo de Control Interno,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Seguridad Nacional,Hombre,Subdirector de Area,7.0,1
187,Tribunal,SUSPENSION,ENRIQUECIMIENTO OCULTO,Gobernanza y Justicia,Hombre,Subadministrador,10.0,1
188,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Seguridad Nacional,Mujer,Subdirector de Area,4.0,1
189,Contraloría Interna,INHABILITADO,TRÁFICO DE INFLUENCIAS,Salud,Mujer,Jefe de Departamento,1.0,1
190,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Comunicación y Transporte,Hombre,Director General Paraestatal B,2.0,1
191,OIC,DESTITUCION,PECULADO,Educación e Investigación,Mujer,Analista,3.0,1
192,Contraloría Interna,INHABILITADO,COHECHO,Energía,Mujer,Subdirector de Area,8.0,1
193,Contraloría Interna,INHABILITADO,NEPOTISMO,Banca y Finanzas,Hombre,Jefe de Departamento,10.0,1
194,OIC,INHABILITADO,TRÁFICO DE INFLUENCIAS,Comunicación y Transporte,Mujer,Jefe de Departamento,2.0,1
195,Organo de Control Interno,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Comunicación y Transporte,Hombre,Titular de Unidad,9.0,1
196,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Director de Area,8.0,1
197,Tribunal,INHABILITADO,COHECHO,Salud,Hombre,Subdirector de Area,7.0,1
198,OIC,INHABILITADO,PECULADO,Educación e Investigación,Hombre,Titular de Unidad,10.0,1
199,Contraloría Interna,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Educación e Investigación,Hombre,Director General Adjunto,8.0,1
200,OIC,DESTITUCION,CONTRATACIÓN INDEBIDA,Salud,Mujer,Director General Paraestatal C,8.0,1
201,Contraloría Interna,SUSPENSION,TRÁFICO DE INFLUENCIAS,Gobernanza y Justicia,Hombre,Director de Area,4.0,1
202,OIC,DESTITUCION,TRÁFICO DE INFLUENCIAS,Banca y Finanzas,Hombre,Subadministrador,6.0,1
203,Contraloría Interna,INHABILITADO,COHECHO,Arte y Cultura,Hombre,Subadministrador,5.0,1
204,OIC,SUSPENSION,COHECHO,Economía y Desarrollo,Mujer,Jefe de Departamento,1.0,1
205,Tribunal,SUSPENSION,CONFLICTO DE INTERÉS,Energía,Mujer,Director General Adjunto,5.0,1
206,Organo de Control Interno,DESTITUCION,NEPOTISMO,Seguridad Nacional,Hombre,Jefe de Departamento,10.0,1
207,Tribunal,INHABILITADO,TRÁFICO DE INFLUENCIAS,Salud,Hombre,Secretario/a de Estado A,10.0,1
208,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Comunicación y Transporte,Mujer,Jefe de Departamento,10.0,1
209,Organo de Control Interno,SUSPENSION,ENRIQUECIMIENTO OCULTO,Comunicación y Transporte,Mujer,Administrador,1.0,1
210,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Salud,Mujer,Subdirector de Area,1.0,1
211,OIC,INHABILITADO,CONTRATACIÓN INDEBIDA,Salud,Mujer,Jefe de Departamento,4.0,1
212,Tribunal,INHABILITADO,CONFLICTO DE INTERÉS,Economía y Desarrollo,Hombre,Director de Area,7.0,1
213,Contraloría Interna,DESTITUCION,COHECHO,Educación e Investigación,Mujer,Jefe de Departamento,3.0,1
214,Organo de Control Interno,INHABILITADO,COHECHO,Agricultura,Mujer,Titular de Unidad,10.0,1
215,Contraloría Interna,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Salud,Mujer,Director General Adjunto,10.0,1
216,OIC,SUSPENSION,NEPOTISMO,Salud,Hombre,Subadministrador,8.0,1
217,Contraloría Interna,SUSPENSION,CONFLICTO DE INTERÉS,Salud,Mujer,Administrador,5.0,1
218,OIC,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Educación e Investigación,Mujer,Subdirector de Area,1.0,1
219,OIC,SUSPENSION,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Mujer,Director General Adjunto,6.0,1
220,Organo de Control Interno,INHABILITADO,NEPOTISMO,Banca y Finanzas,Mujer,Director de Area,4.0,1
221,Tribunal,DESTITUCION,TRÁFICO DE INFLUENCIAS,Salud,Mujer,Director de Area,9.0,1
222,Contraloría Interna,INHABILITADO,COHECHO,Salud,Hombre,Subdirector de Area,4.0,1
223,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Hombre,Subadministrador,1.0,1
224,Contraloría Interna,INHABILITADO,CONFLICTO DE INTERÉS,Banca y Finanzas,Hombre,Administrador,4.0,1
225,Organo de Control Interno,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Educación e Investigación,Mujer,Jefe de Departamento,8.0,1
226,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Arte y Cultura,Mujer,Subadministrador,3.0,1
227,Organo de Control Interno,INHABILITADO,CONFLICTO DE INTERÉS,Educación e Investigación,Mujer,Administrador,1.0,1
228,Contraloría Interna,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Hombre,Director General Paraestatal C,9.0,1
229,OIC,SUSPENSION,COHECHO,Comunicación y Transporte,Hombre,Subadministrador,7.0,1
230,Tribunal,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Agricultura,Mujer,Titular de Unidad,4.0,1
