,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,multa,ingreso,value
45,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1081716.0,1
46,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1210092.0,1
47,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1090308.0,1
48,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,1693510.0,1
49,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,1693510.0,1
50,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,5716752.0,1
51,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,4351032.0,1
52,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,5438916.0,1
53,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,5160744.0,1
54,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,4842180.0,1
55,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,28535.0,4842180.0,1
56,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,4842180.0,1
57,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,1633600.0,1
58,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,6031200.0,1
59,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,5039040.0,1
60,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,6431556.0,1
61,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,5561124.0,1
62,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,5153904.0,1
63,Contraloría Interna,SANCIÓN ECONÓMICA,DESVÍO DE RECURSOS PÚBLICOS,Educación e Investigación,Mujer,Director General Paraestatal C,22189.0,5153904.0,1
64,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,5153904.0,1
65,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,1070508.0,1
66,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,273910.0,1
67,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,1123032.0,1
68,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,1054140.0,1
69,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,998172.0,1
70,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,974508.0,1
71,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,22189.0,974508.0,1
72,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,974508.0,1
73,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1076208.0,1
74,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,247970.0,1
75,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1134324.0,1
76,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1175544.0,1
77,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1148652.0,1
78,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1161888.0,1
79,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Subadministrador,22189.0,1161888.0,1
80,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1161888.0,1
81,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1206276.0,1
82,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,244495.0,1
83,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1219668.0,1
84,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1169148.0,1
85,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1171872.0,1
86,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1091376.0,1
87,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Seguridad Nacional,Hombre,Director de Area,22189.0,1091376.0,1
88,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1091376.0,1
89,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,317575.0,1
90,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1520388.0,1
91,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1587756.0,1
92,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1506672.0,1
93,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1540092.0,1
94,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1535040.0,1
95,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Subdirector de Area,22189.0,1535040.0,1
96,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,1156205.0,1
97,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,1156205.0,1
98,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,4362936.0,1
99,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,4153764.0,1
100,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,3797928.0,1
101,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,4907544.0,1
102,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,4709088.0,1
103,Organo de Control Interno,ACTA ADMINISTRATIVA,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Banca y Finanzas,Mujer,Director General Paraestatal C,22189.0,4709088.0,1
104,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,105560.0,1
105,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
106,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
107,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
108,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
109,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
110,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
111,Organo de Control Interno,ACTA ADMINISTRATIVA,CONFLICTO DE INTERÉS,Gobernanza y Justicia,Mujer,Subdirector de Area,22189.0,506688.0,1
112,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,506688.0,1
113,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,5078448.0,1
114,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,1580630.0,1
115,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,4593768.0,1
116,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,4234416.0,1
117,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,4866060.0,1
118,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,4283496.0,1
119,OIC,SANCIÓN ECONÓMICA,COHECHO,Comunicación y Transporte,Hombre,Titular de Unidad,10159.0,4283496.0,1
120,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,4283496.0,1
121,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,126855.0,1
122,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
123,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
124,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
125,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
126,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
127,Tribunal,SUSPENSION,PECULADO,Salud,Hombre,Subdirector de Area,10159.0,608904.0,1
128,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,608904.0,1
129,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,1247555.0,1
130,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,4008564.0,1
131,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,4294860.0,1
132,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,4121496.0,1
133,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,3793500.0,1
134,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,4330500.0,1
135,Tribunal,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Secretario/a de Estado A,10159.0,4330500.0,1
136,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4330500.0,1
137,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,1467145.0,1
138,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4090272.0,1
139,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4550184.0,1
140,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4103400.0,1
141,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4502616.0,1
142,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4092768.0,1
143,Contraloría Interna,ACTA ADMINISTRATIVA,NEPOTISMO,Minería,Mujer,Director General Adjunto,10159.0,4092768.0,1
144,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,4092768.0,1
145,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,238220.0,1
146,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1114752.0,1
147,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1248912.0,1
148,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1106448.0,1
149,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1114248.0,1
150,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1106040.0,1
151,Contraloría Interna,MULTADO,ENRIQUECIMIENTO OCULTO,Salud,Hombre,Subadministrador,23903.0,1106040.0,1
152,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,1106040.0,1
153,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,126855.0,1
154,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
155,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
156,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
157,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
158,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
159,Tribunal,SUSPENSION,NEPOTISMO,Educación e Investigación,Hombre,Analista,23903.0,608904.0,1
160,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,608904.0,1
161,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4399752.0,1
162,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4572660.0,1
163,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,1731590.0,1
164,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4260828.0,1
165,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4672284.0,1
166,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4089360.0,1
167,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Comunicación y Transporte,Mujer,Director General Paraestatal A,23903.0,4089360.0,1
168,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,4089360.0,1
169,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,160000.0,1
170,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
171,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
172,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
173,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
174,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
175,Contraloría Interna,SUSPENSION,NEPOTISMO,Salud,Hombre,Jefe de Departamento,23903.0,768000.0,1
176,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,768000.0,1
177,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,1273965.0,1
178,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,4200624.0,1
179,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,5194392.0,1
180,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,4362744.0,1
181,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,4668156.0,1
182,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,5180388.0,1
183,OIC,DESTITUCION,COHECHO,Comunicación y Transporte,Mujer,Director General Paraestatal B,23903.0,5180388.0,1
184,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,5180388.0,1
185,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,3685176.0,1
186,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,1349335.0,1
187,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,4170912.0,1
188,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,4092840.0,1
189,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,4862208.0,1
190,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,4168356.0,1
191,Organo de Control Interno,SANCIÓN ECONÓMICA,CONTRATACIÓN INDEBIDA,Educación e Investigación,Hombre,Titular de Unidad,8653.0,4168356.0,1
192,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,4168356.0,1
193,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,126855.0,1
194,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
195,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
196,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
197,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
198,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
199,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Salud,Hombre,Subdirector de Area,8653.0,608904.0,1
200,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,608904.0,1
201,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,5825364.0,1
202,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,4964592.0,1
203,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,1573480.0,1
204,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,4901388.0,1
205,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,5995848.0,1
206,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,5672748.0,1
207,OIC,SUSPENSION,ENRIQUECIMIENTO OCULTO,Servicios,Hombre,Titular de Unidad,8653.0,5672748.0,1
